feature,importance
sensor_15_baseline,92
sensor_20_baseline,87
sensor_11_rolling_mean,72
sensor_9_rolling_mean,71
sensor_12_baseline,68
sensor_4_rolling_mean,67
sensor_3_baseline,65
sensor_4_baseline,61
sensor_11_baseline,57
sensor_12_rolling_mean,55
sensor_7_rolling_mean,54
sensor_13_baseline,54
sensor_8_baseline,52
sensor_9_baseline,49
sensor_7_baseline,49
sensor_14_rolling_mean,46
sensor_17_baseline,42
sensor_21_baseline,40
sensor_14_baseline,38
sensor_2_rolling_mean,37
sensor_21_rolling_mean,35
sensor_15_rolling_mean,33
sensor_8_rolling_mean,26
sensor_3_rolling_mean,25
sensor_2_baseline,25
sensor_20_rolling_mean,23
sensor_6_rolling_std,22
sensor_13_rolling_mean,19
sensor_17_rolling_mean,17
sensor_6_baseline,11
sensor_14,3
sensor_13_rolling_std,2
sensor_15_rolling_std,2
sensor_9,1
sensor_9_rolling_std,0
sensor_6_cycle_change,0
sensor_7_rolling_std,0
sensor_7_cycle_change,0
sensor_6_rolling_mean,0
sensor_4_cycle_change,0
sensor_8_rolling_std,0
sensor_8_cycle_change,0
sensor_21_rolling_std,0
sensor_20_rolling_std,0
sensor_9_cycle_change,0
sensor_11_rolling_std,0
sensor_11_cycle_change,0
sensor_12_rolling_std,0
sensor_12_cycle_change,0
sensor_20_cycle_change,0
sensor_17_cycle_change,0
sensor_4_rolling_std,0
sensor_13_cycle_change,0
sensor_14_rolling_std,0
sensor_14_cycle_change,0
sensor_15_cycle_change,0
sensor_17_rolling_std,0
sensor_1,0
sensor_17_degraded,0
sensor_3_cycle_change,0
sensor_21,0
sensor_19,0
sensor_18,0
sensor_17,0
sensor_16,0
sensor_15,0
sensor_13,0
sensor_12,0
sensor_11,0
sensor_10,0
sensor_8,0
sensor_7,0
sensor_6,0
sensor_5,0
sensor_4,0
sensor_3,0
sensor_20,0
sensor_2_degraded,0
sensor_3_rolling_std,0
sensor_3_degraded,0
sensor_2_cycle_change,0
sensor_2_rolling_std,0
sensor_21_degraded,0
sensor_20_degraded,0
sensor_2,0
sensor_15_degraded,0
sensor_14_degraded,0
sensor_13_degraded,0
sensor_12_degraded,0
sensor_11_degraded,0
sensor_9_degraded,0
sensor_8_degraded,0
sensor_7_degraded,0
sensor_6_degraded,0
sensor_4_degraded,0
sensor_21_cycle_change,0
