feature,importance
sensor_4_rolling_mean,0.18904683
sensor_21_rolling_mean,0.10721559
sensor_15_rolling_mean,0.09064249
sensor_11_rolling_mean,0.08995187
sensor_17_rolling_mean,0.08624606
sensor_20_rolling_mean,0.06007376
sensor_20_baseline,0.0450953
sensor_9_rolling_mean,0.03703195
sensor_3_rolling_mean,0.03461535
sensor_4_baseline,0.023826083
sensor_12_rolling_mean,0.022793164
sensor_12_baseline,0.020785825
sensor_17_baseline,0.019903183
sensor_7_rolling_mean,0.019401778
sensor_21_baseline,0.01924708
sensor_2_rolling_mean,0.018571995
sensor_11_baseline,0.016127896
sensor_8_baseline,0.014087211
sensor_13_rolling_mean,0.011104404
sensor_8_rolling_mean,0.01049436
sensor_2_baseline,0.009547497
sensor_7_baseline,0.00821208
sensor_15_baseline,0.0081773475
sensor_14_baseline,0.0071152807
sensor_9_baseline,0.0065562725
sensor_14_rolling_mean,0.006267743
sensor_6_rolling_std,0.005337026
sensor_13_baseline,0.0044178674
sensor_6_baseline,0.0040663383
sensor_3_baseline,0.0034684786
sensor_9_rolling_std,0.00032465986
sensor_3,0.00024721422
sensor_7_slope,0.0
sensor_20_slope,0.0
sensor_7_rolling_std,0.0
sensor_9_slope,0.0
sensor_21_slope,0.0
sensor_8_rolling_std,0.0
sensor_8_slope,0.0
sensor_20_rolling_std,0.0
sensor_21_rolling_std,0.0
sensor_12_slope,0.0
sensor_17_slope,0.0
sensor_11_rolling_std,0.0
sensor_11_slope,0.0
sensor_17_rolling_std,0.0
sensor_12_rolling_std,0.0
sensor_13_rolling_std,0.0
sensor_13_slope,0.0
sensor_14_rolling_std,0.0
sensor_15_slope,0.0
sensor_15_rolling_std,0.0
sensor_14_slope,0.0
sensor_6_slope,0.0
sensor_2,0.0
sensor_6_rolling_mean,0.0
sensor_4_slope,0.0
sensor_3_degraded,0.0
sensor_2_degraded,0.0
sensor_21,0.0
sensor_20,0.0
sensor_17,0.0
sensor_15,0.0
sensor_14,0.0
sensor_13,0.0
sensor_12,0.0
sensor_11,0.0
sensor_9,0.0
sensor_8,0.0
sensor_7,0.0
sensor_6,0.0
sensor_4,0.0
sensor_4_degraded,0.0
sensor_6_degraded,0.0
sensor_7_degraded,0.0
sensor_20_degraded,0.0
sensor_4_rolling_std,0.0
sensor_3_slope,0.0
sensor_3_rolling_std,0.0
sensor_2_slope,0.0
sensor_2_rolling_std,0.0
sensor_21_degraded,0.0
sensor_17_degraded,0.0
sensor_8_degraded,0.0
sensor_15_degraded,0.0
sensor_14_degraded,0.0
sensor_13_degraded,0.0
sensor_12_degraded,0.0
sensor_11_degraded,0.0
sensor_9_degraded,0.0
health_score,0.0
