feature,importance
sensor_4_rolling_mean,0.5003653105694431
sensor_20_baseline,0.11263235641665056
sensor_11_rolling_mean,0.07903620681254785
sensor_21_rolling_mean,0.0712142092081155
sensor_12_rolling_mean,0.02437206400636754
sensor_12_baseline,0.019498866754195925
sensor_9_rolling_mean,0.018047334813526383
sensor_21_baseline,0.01788113730709355
sensor_11_baseline,0.0166053848021709
sensor_15_rolling_mean,0.015893724096091508
sensor_8_baseline,0.011749093754185903
sensor_7_baseline,0.00945236810853079
sensor_7_rolling_mean,0.008967187211395939
sensor_13_baseline,0.008808803995828144
sensor_14_rolling_mean,0.008490843501033664
sensor_4_baseline,0.00815597807772679
sensor_2_baseline,0.007920236613330639
sensor_15_baseline,0.007024338790597939
sensor_20_rolling_mean,0.006686899689251889
sensor_17_baseline,0.006200002260118399
sensor_13_rolling_mean,0.00466866884437155
sensor_2_rolling_mean,0.004367197620557966
sensor_3_baseline,0.00435198763050001
sensor_9_baseline,0.003309096683097652
sensor_8_rolling_mean,0.003237019992845357
sensor_14_baseline,0.003016378806418413
sensor_17_rolling_mean,0.0023289749408039987
sensor_3_rolling_mean,0.0017776177797318485
sensor_9,0.001250612277343084
sensor_14,0.0008408844176254708
sensor_21_rolling_std,0.0007175518334134166
sensor_2_rolling_std,0.0007011010174126041
sensor_7_rolling_std,0.0006580413266950089
sensor_3_rolling_std,0.0006465006126182332
sensor_20_rolling_std,0.0006366008857159058
sensor_12_rolling_std,0.0005890004017919692
sensor_15_rolling_std,0.0005769161242808491
sensor_4_rolling_std,0.000563550141419372
sensor_11_rolling_std,0.0005616770137353645
sensor_13_rolling_std,0.0005467421382720461
sensor_14_rolling_std,0.0005195811735062737
sensor_8_rolling_std,0.0005008578827709427
sensor_9_rolling_std,0.00044442071234156
sensor_17_rolling_std,0.00033946807797732576
sensor_3,0.0002417348455815594
sensor_12,0.0002380863205568036
sensor_6_baseline,0.00020155097919756355
sensor_11,0.00018904797202923468
sensor_7,0.00018423746345334655
sensor_20,0.00017960398247229066
sensor_2,0.0001768841662077811
sensor_21,0.00017566943260594696
sensor_4,0.00016099759872132544
sensor_15_slope,0.0001492574756514428
sensor_15,0.0001456325400860092
sensor_9_slope,0.0001446082779502803
sensor_4_slope,0.00013452395124214292
sensor_21_slope,0.0001345135279773991
sensor_3_slope,0.00013417472893377847
sensor_14_slope,0.00013171405807234588
sensor_12_slope,0.00012630642696175858
sensor_7_slope,0.00011667795939141915
sensor_2_slope,0.00011322682306134577
sensor_11_slope,0.000111227691745159
sensor_13,0.00010933354435662437
sensor_13_slope,0.00010201271278727789
sensor_20_slope,9.229684636698946e-05
sensor_8,8.670105502681448e-05
sensor_8_slope,7.673703644205895e-05
sensor_6_rolling_std,5.963448745568092e-05
sensor_17_slope,5.2405956044026197e-05
sensor_17,4.756108708866557e-05
sensor_6_rolling_mean,2.4751129751414146e-05
sensor_6,3.286559066223944e-06
sensor_6_slope,2.808240266193619e-06
sensor_20_degraded,0.0
sensor_21_degraded,0.0
sensor_15_degraded,0.0
sensor_3_degraded,0.0
sensor_2_degraded,0.0
sensor_4_degraded,0.0
sensor_6_degraded,0.0
sensor_7_degraded,0.0
sensor_8_degraded,0.0
sensor_9_degraded,0.0
sensor_11_degraded,0.0
sensor_12_degraded,0.0
sensor_17_degraded,0.0
sensor_13_degraded,0.0
sensor_14_degraded,0.0
health_score,0.0
