feature,importance
sensor_4_rolling_mean,0.20065597
sensor_21_rolling_mean,0.102305606
sensor_11_rolling_mean,0.10207399
sensor_20_baseline,0.06749661
sensor_15_rolling_mean,0.059762876
sensor_17_rolling_mean,0.03934304
sensor_3_rolling_mean,0.03128949
sensor_20_rolling_mean,0.028048338
sensor_11_baseline,0.02466594
sensor_21_baseline,0.023849059
sensor_4_baseline,0.023491895
sensor_12_baseline,0.022293353
sensor_12_rolling_mean,0.021164013
sensor_9_rolling_mean,0.02010276
sensor_17_baseline,0.019334923
sensor_2_rolling_mean,0.01852024
sensor_7_rolling_mean,0.018139588
sensor_8_baseline,0.018053636
sensor_7_baseline,0.015545104
sensor_6_rolling_std,0.013468636
sensor_2_baseline,0.01332595
sensor_15_baseline,0.012946403
sensor_14,0.011342368
sensor_13_baseline,0.010842252
sensor_14_rolling_mean,0.010216841
sensor_9_baseline,0.007874367
sensor_13_rolling_mean,0.0067975638
sensor_14_baseline,0.0058123437
sensor_6_baseline,0.0058022835
sensor_9,0.005723968
sensor_3_baseline,0.0050354614
sensor_8_rolling_mean,0.0047397944
sensor_6_slope,0.0043519377
sensor_15_rolling_std,0.0015099725
sensor_20_slope,0.0012793409
sensor_20,0.0011788341
sensor_21_rolling_std,0.0011135617
sensor_4_rolling_std,0.0011075932
sensor_13_rolling_std,0.0010829313
sensor_8_rolling_std,0.0010564805
sensor_3_rolling_std,0.0009860235
sensor_7_rolling_std,0.00087453896
sensor_12_rolling_std,0.0008473906
sensor_2_rolling_std,0.00082395563
sensor_20_rolling_std,0.0008086774
sensor_2_slope,0.00080751616
sensor_17_rolling_std,0.0008073843
sensor_9_rolling_std,0.0007325643
sensor_14_rolling_std,0.000729446
sensor_17_slope,0.0007293294
sensor_12_slope,0.0007004998
sensor_6_rolling_mean,0.00067827
sensor_8,0.0006293154
sensor_11_slope,0.00057935953
sensor_14_slope,0.00056607067
sensor_7_slope,0.0005617235
sensor_11_rolling_std,0.0005140115
sensor_21,0.00044608244
sensor_17,0.00041117874
sensor_9_slope,0.0004064454
sensor_8_slope,0.0003953074
sensor_11,0.000386416
sensor_15,0.00038443957
sensor_12,0.0003825548
sensor_7,0.0003669555
sensor_4_slope,0.00035574354
sensor_3,0.00027143047
sensor_21_slope,0.00026904125
sensor_15_slope,0.00020684265
sensor_4,0.00020239937
sensor_13_slope,0.00017596755
sensor_13,0.00010406455
sensor_2,0.000103316495
sensor_3_slope,7.3078754e-06
sensor_6,3.0684212e-06
sensor_21_degraded,0.0
sensor_2_degraded,0.0
sensor_3_degraded,0.0
sensor_4_degraded,0.0
sensor_6_degraded,0.0
sensor_7_degraded,0.0
sensor_8_degraded,0.0
sensor_9_degraded,0.0
sensor_11_degraded,0.0
sensor_12_degraded,0.0
sensor_13_degraded,0.0
sensor_14_degraded,0.0
sensor_15_degraded,0.0
sensor_17_degraded,0.0
sensor_20_degraded,0.0
health_score,0.0
