feature,importance
sensor_2_baseline,199
sensor_20_baseline,170
sensor_9_rolling_mean,148
sensor_15_baseline,145
sensor_7_baseline,138
sensor_3_baseline,136
sensor_4_rolling_mean,128
sensor_12_baseline,120
sensor_11_rolling_mean,117
sensor_14_rolling_mean,116
sensor_11_baseline,112
sensor_12_rolling_mean,111
sensor_8_baseline,106
sensor_4_baseline,105
sensor_7_rolling_mean,97
sensor_9_baseline,95
sensor_21_baseline,92
sensor_14_baseline,92
sensor_17_baseline,82
sensor_13_rolling_mean,77
sensor_2_rolling_mean,76
sensor_20_rolling_mean,71
sensor_8_rolling_mean,70
sensor_15_rolling_mean,64
sensor_13_baseline,63
sensor_21_rolling_mean,55
sensor_3_rolling_mean,49
sensor_17_rolling_mean,41
sensor_6_rolling_std,30
sensor_6_baseline,15
sensor_15_rolling_std,12
sensor_12_rolling_std,12
sensor_14,9
sensor_9,7
sensor_4_rolling_std,6
sensor_13_rolling_std,6
sensor_11_rolling_std,5
sensor_20_rolling_std,4
sensor_3_rolling_std,4
sensor_7_rolling_std,3
sensor_14_rolling_std,2
sensor_20,2
sensor_21_rolling_std,2
sensor_7,2
sensor_17_rolling_std,1
sensor_8,1
sensor_2_rolling_std,1
sensor_9_rolling_std,1
sensor_17_slope,0
sensor_21_slope,0
sensor_8_rolling_std,0
sensor_8_slope,0
sensor_15_slope,0
sensor_13_slope,0
sensor_14_slope,0
sensor_9_slope,0
sensor_11_slope,0
sensor_20_slope,0
sensor_12_slope,0
sensor_2,0
sensor_7_slope,0
sensor_8_degraded,0
sensor_4,0
sensor_6,0
sensor_11,0
sensor_12,0
sensor_13,0
sensor_15,0
sensor_17,0
sensor_21,0
sensor_2_degraded,0
sensor_3_degraded,0
sensor_4_degraded,0
sensor_6_degraded,0
sensor_7_degraded,0
sensor_9_degraded,0
sensor_6_slope,0
sensor_11_degraded,0
sensor_12_degraded,0
sensor_13_degraded,0
sensor_14_degraded,0
sensor_15_degraded,0
sensor_17_degraded,0
sensor_20_degraded,0
sensor_21_degraded,0
sensor_3,0
sensor_2_slope,0
sensor_3_slope,0
sensor_4_slope,0
sensor_6_rolling_mean,0
health_score,0
